cells	label
TTC76-0508	T
TTC77-0508	T
TTC79-0508	T
TTC82-0508	T
TTC84-0508	T
TTC85-0508	T
TTC86-0508	T
TTC87-0508	T
TTC90-0508	T
TTC9-0508	T
TTC92-0508	T
TTC93-0508	T
TTC95-0508	T
TTC103-1116	T
TTC107-1116	T
TTC108-1116	T
TTC109-1116	T
TTC111-1116	T
TTC1-1116	T
TTC113-1116	T
TTC125-1116	T
TTC130-1116	T
TTC13-1116	T
TTC132-1116	T
TTC135-1116	T
TTC137-1116	T
TTC141-1116	T
TTC14-1116	T
TTC143-1116	T
TTC151-1116	T
TTC17-1116	T
TTC19-1116	T
TTC21-1116	T
TTC2-1116	T
TTC24-1116	T
TTC25-1116	T
TTC26-1116	T
TTC28-1116	T
TTC29-1116	T
TTC30-1116	T
TTC32-1116	T
TTC36-1116	T
TTC38-1116	T
TTC40-1116	T
TTC41-1116	T
TTC52-1116	T
TTC53-1116	T
TTC56-1116	T
TTC57-1116	T
TTC58-1116	T
TTC59-1116	T
TTC60-1116	T
TTC68-1116	T
TTC69-1116	T
TTC70-1116	T
TTC73-1116	T
TTC76-1116	T
TTC78-1116	T
TTC80-1116	T
TTC8-1116	T
TTC82-1116	T
TTC89-1116	T
TTC9-1116	T
TTC92-1116	T
TTC95-1116	T
TTC96-1116	T
TTC99-1116	T
PTC104-0205	P
PTC118-0205	P
PTC123-0205	P
PTC44-0205	P
PTC50-0205	P
PTC95-0205	P
TTC103-0205	T
TTC105-0205	T
TTC108-0205	T
TTC11-0205	T
TTC111-0205	T
TTC116-0205	T
TTC118-0205	T
TTC119-0205	T
TTC120-0205	T
TTC121-0205	T
TTC122-0205	T
TTC123-0205	T
TTC126-0205	T
TTC127-0205	T
TTC13-0205	T
TTC131-0205	T
TTC132-0205	T
TTC134-0205	T
TTC136-0205	T
TTC137-0205	T
TTC139-0205	T
TTC141-0205	T
TTC142-0205	T
TTC144-0205	T
TTC17-0205	T
TTC30-0205	T
TTC39-0205	T
TTC42-0205	T
TTC45-0205	T
TTC47-0205	T
TTC49-0205	T
TTC52-0205	T
TTC53-0205	T
TTC55-0205	T
TTC67-0205	T
TTC68-0205	T
TTC71-0205	T
TTC73-0205	T
TTC74-0205	T
TTC78-0205	T
TTC80-0205	T
TTC90-0205	T
TTC92-0205	T
TTC93-0205	T
TTC94-0205	T
TTC99-0205	T
NTC108-0322	N
NTC116-0322	N
